k,run,cycles
5,1,1047
5,2,1039
5,3,1046
5,4,1053
5,5,1036
5,6,1024
5,7,1054
5,8,1049
5,9,1033
5,10,1054
10,1,1467
10,2,1475
10,3,1449
10,4,1458
10,5,1332
10,6,1406
10,7,1433
10,8,1449
10,9,1475
10,10,1474
100,1,90040
100,2,140533
100,3,131681
100,4,133553
100,5,108376
100,6,105263
100,7,34861
100,8,118653
100,9,170757
100,10,85645

k,average_cycles
,0.00
k,0.00
5,1043.50
10,1441.80
100,111936.20
